yahooapis.com,Yahoo! Inc.
yimg.com,Yahoo! Inc.
feedburner.com,Google Inc.
googlesyndication.com,Google Inc.
akamai.net,Akamai Technologies, inc.
fbcdn.net,Facebook, Inc.
twimg.com,Twitter, Inc.
google-analytics.com,Google Inc.
googleadservices.com,Google Inc.
facebook.net,Facebook, Inc.
dsnextgen.com,Rook Media AG
scanalert.com,McAfee Inc
casalemedia.com,Casale Media
cnzz.com,Zhejiang Alibaba Cloud Computing Ltd. (浙江阿里巴巴云计算有限公司)
over-blog.net,JFG NETWORKS
google.com,Google Inc.
jquerytools.org,Flowzymes Ky
icq.com,ICQ LLC
over-blog.com,JFG NETWORKS
deviantart.com,deviantART
myspacecdn.com,MySpace LLC
st-hatena.com,DIGIROCK, INC.
typekit.com,Adobe Systems Incorporated
qksrv.net,ValueClick, Inc
mybloglog.com,Yahoo! Inc.
ndoverdrive.net,Yahoo! Inc.
blogs.com,SAY Media, Inc
facebook.com,Facebook, Inc.
amazon.com,Amazon Technologies, Inc.
llnwd.net,Limelight Networks
cpxinteractive.com,Domains By Proxy, LLC
tias.com,TIAS
pro-market.net,Datonics, LLC
skimresources.com,Skimbit Ltd
ndoverdrive.com,Skimbit Ltd
wired.com,Advance Magazine Group
babelimmo.com,Le Cube
webmasterplan.com,affilinet GmbH
imgaft.com,Domains By Proxy, LLC
washingtonpost.com,WP Company LLC
canalblog.com,PINACOLAWEB
zemanta.com,Zemanta Inc.
photobucket.com,Photobucket, Inc.
deviantart.net,deviantART
cloudflare.com,CloudFlare, Inc.
etsy.com,Etsy Inc.
ocsn.com,CBS Interactive Inc.
gmpg.org,DNStination, Inc.
shinystat.com,Contact Privacy Inc. Customer 0129563
cbsinteractive.com,CBS Interactive Inc.
mediaplex.com,Conversant, Inc.
dynamicdrive.com,WHOISGUARD, INC.
cbssports.com,CBS Broadcasting Inc.
imagehost.org,WhoisGuard, Inc.
dailymotion.com,Dailymotion
publicidees.com,Public-Idées SA
estara.com,Oracle Corporation
cnn.net,Turner Broadcasting System, Inc.
dsultra.com,Rook Media AG
zedo.com,ZEDO, Inc.
iperceptions.com,iPerceptions Inc.
newsgator.com,Sitrion, Inc.
js-kit.com,Jacknyfe, Inc
virtualearth.net,Microsoft Corporation
chow.com,CBS Interactive Inc.
easycounter.com,WHOIS PRIVACY PROTECTION SERVICE, INC.
creativecommons.org,Creative Commons Corporation
bfast.com,ValueClick
cstv.com,CSTV Networks Inc. - CBSSN
imrworldwide.com,The Nielsen Company
cafepress.com,CafePress Inc.
icontact.com,iContact LLC
tv.com,CBS Interactive Inc.
theinsider.com,CBS Studios Inc.
cnn.com,Turner Broadcasting System, Inc.
webs.com,WEBS, INC.
jquery.com,JQUERY FOUNDATION
haloscan.com,Jacknyfe, Inc
tripod.com,Lycos, Inc
rackcdn.com,Rackspace US, Inc.
gravatar.com,Automattic, Inc.
wordpress.com,Automattic, Inc.
fc2.com,Contact Privacy Inc. Customer 014173950
gamespot.com,CBS Interactive Inc.
histats.com,Domains By Proxy, LLC
wunderground.com,The Weather Channel, LLC
freelogs.com,FREELOGS.COM
2mdn.net,Google Inc.
pagepeeker.com,Domains By Proxy, LLC
thefind.com,TheFind, Inc.
timeanddate.com,Time and Date AS
atdmt.com,Facebook, Inc.
picoodle.com,Funky Llama Productions LLC
gmail.com,Google Inc.
mozilla.org,Mozilla Corporation
wspisp.net,Web.com Group, Inc.
techrepublic.com,CBS Interactive Inc.
netscape.com,AOL Inc.
stumbleupon.com,Stumbleupon Inc.
stanford.edu,Stumbleupon Inc.
livedoor.com,LINE Corporation
centerblog.net,SARL TIGERSUN
blogger.com,Google Inc.
twitpic.com,Twitpic Inc
openx.org,OpenX Limited
live.com,Microsoft Corporation
zdnet.com,CBS Interactive Inc.
diysite.com,Shenzhenshi Zizhuwang Ruanjian Youxiangongsi
submitexpress.com,Submit Express, Inc.
intellitxt.com,Vibrant Media Limited
tynt.com,Contact Privacy Inc. Customer 0118059420
skype.com,Skype
huffingtonpost.com,AOL Inc.
jalbum.net,Jalbum AB
glitter-graphics.net,Mozanim B.V.
baidu.com,Beijing Baidu Netcom Science Technology Co., Ltd.
godaddy.com,Go Daddy Operating Company, LLC
fileden.com,CX, Inc.
coveritlive.com,SCRIBBLE TECHNOLOGIES INC
lycos.com,Lycos, Inc
shopper.com,WHOIS PRIVACY PROTECTION SERVICE, INC.
livejournal.com,LiveJournal, Inc.
nytimes.com,The New York Times Company
contactatonce.com,Contact At Once! LLC
nedstatbasic.net,ad pepper media
burstnet.com,Burst Media, Corporation
apnewsregistry.com,NewsRight, LLC.
twitter.com,Twitter, Inc.
diytrade.com,DIYSite.com Ltd.
sho.com,Showtime Networks Inc.
w3.org,W3C
compete.com,Compete Inc.
xrea.com,Whois Privacy Protection Service by VALUE-DOMAIN
mac.com,Apple Inc.
rmgserving.com,Domains By Proxy, LLC
i-services.net,I-Services
collegesports.com,CSTV Networks Inc. - CBSSN
